Date,Time,Latitude,Longitude,Altitude,Speed,Heading,Signal Quality,Number of Satalites Connected,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration
12/4/2022,7:20:20,-33.89134,18.95951,235.9,1.09,37.18,2,9,0.194,-0.022,1.008
12/4/2022,7:20:22,-33.89134,18.95952,235.9,1.09,36.87,2,9,0.154,-0.032,1.01
12/4/2022,7:20:24,-33.89134,18.95952,235.9,0.41,36.87,2,9,0.134,0.064,1.004
12/4/2022,7:20:25,-33.89134,18.95952,235.9,0.33,36.87,2,9,0.068,0.096,1.024
12/4/2022,7:20:27,-33.89134,18.95952,235.9,0.31,36.87,2,9,0.072,0.114,1.02
12/4/2022,7:20:28,-33.89134,18.95952,235.9,0.28,36.87,2,9,0.06,0.104,1
12/4/2022,7:20:30,-33.89134,18.95952,235.9,0.22,36.87,2,9,0.098,0.09,1.01
12/4/2022,7:20:31,-33.89134,18.95952,235.9,0.3,36.87,2,9,0.112,0.136,1
12/4/2022,7:20:32,-33.89134,18.95952,235.9,0.28,36.87,2,9,0.096,0.128,0.98
12/4/2022,7:20:34,-33.89134,18.95952,235.9,1.28,203.69,2,9,0.192,0.16,0.986
12/4/2022,7:20:36,-33.89136,18.9595,235.9,2.41,218.25,2,9,0.052,0.188,1.054
12/4/2022,7:20:38,-33.89137,18.95948,235.9,2.5,221.83,2,9,0.114,0.192,1.016
12/4/2022,7:20:39,-33.89138,18.95948,235.9,2.56,223.7,2,9,0.12,0.192,1.016
12/4/2022,7:20:40,-33.89139,18.95947,235.9,2.65,223.19,2,9,0.156,0.184,0.96
12/4/2022,7:20:42,-33.89141,18.95945,236.1,3.33,225.43,2,9,0.268,0.164,1.002
12/4/2022,7:20:43,-33.89141,18.95944,236.2,4.13,231.21,2,9,0.22,0.144,0.924
12/4/2022,7:20:45,-33.89146,18.95938,236.9,12.93,222.69,2,9,0.128,0.272,0.974
12/4/2022,7:20:47,-33.89155,18.95932,237.8,17.61,208.3,2,9,0.124,0.246,0.94
12/4/2022,7:20:49,-33.89165,18.95927,238.5,22.71,200.75,2,9,0.19,0.222,0.936
12/4/2022,7:20:51,-33.89179,18.95922,239,28.24,196.89,2,9,0.058,0.234,1.002
12/4/2022,7:20:53,-33.89194,18.95918,239,30.52,193.38,2,9,0.04,0.256,1.018
12/4/2022,7:20:54,-33.89202,18.95916,239.3,30.65,191.81,2,9,0.02,0.252,1.024
12/4/2022,7:20:55,-33.8921,18.95914,239.6,29.98,192.47,2,9,0.016,0.256,0.952
12/4/2022,7:20:57,-33.89224,18.95911,240,27.06,189.73,2,9,0.106,0.232,1.014
12/4/2022,7:20:59,-33.89239,18.95907,240,29.34,192.88,2,9,0.066,0.272,0.984
12/4/2022,7:21:00,-33.89247,18.95905,240,29.97,193,2,9,0.228,0.216,1.088
12/4/2022,7:21:01,-33.89254,18.95903,239.6,31.67,192.69,2,9,0.156,0.26,0.9
12/4/2022,7:21:02,-33.89263,18.95901,238.9,34.98,193.74,2,9,-0.016,0.276,1.06
12/4/2022,7:21:03,-33.89273,18.95899,238,36.76,193.14,2,9,0,0.28,0.972
12/4/2022,7:21:05,-33.89292,18.95894,236.8,38.35,191.89,2,9,0.048,0.278,0.988
12/4/2022,7:21:06,-33.89301,18.95892,236.2,39.3,191.84,2,9,0.044,0.264,0.984
12/4/2022,7:21:08,-33.89321,18.95887,235.4,41.11,192.39,2,9,0.034,0.272,0.988
12/4/2022,7:21:10,-33.89341,18.95882,235.5,38.71,191.79,2,9,0.122,0.256,0.994
12/4/2022,7:21:11,-33.89351,18.9588,236.2,38.23,192.04,2,9,0.18,0.148,0.896
12/4/2022,7:21:12,-33.8936,18.95877,237.2,37.89,192.26,2,9,0.176,0.244,0.936
12/4/2022,7:21:14,-33.89379,18.95872,239.8,37.35,192.48,2,9,0.114,0.228,1.102
12/4/2022,7:21:16,-33.89397,18.95867,242.2,36.93,192.1,2,9,0.124,0.304,1.052
12/4/2022,7:21:18,-33.89416,18.95863,244.7,37.15,191.59,2,9,0.064,0.256,1.014
12/4/2022,7:21:19,-33.89426,18.95861,245.7,35.65,191.55,2,9,0.084,0.26,1.02
12/4/2022,7:21:21,-33.89442,18.95857,246.8,33.11,191.95,2,9,0.056,0.256,0.944
12/4/2022,7:21:22,-33.8945,18.95855,247.1,31.71,191.28,2,9,0.036,0.26,0.816
12/4/2022,7:21:23,-33.89457,18.95853,247.3,29.3,190.63,2,9,0.16,0.276,0.988
12/4/2022,7:21:24,-33.89464,18.95852,247.5,29.3,190.89,2,9,0.084,0.26,0.96
12/4/2022,7:21:25,-33.89471,18.9585,247.8,28.89,191.54,2,9,0.14,0.268,0.96
12/4/2022,7:21:26,-33.89478,18.95849,247.6,29.26,192.03,2,9,0.12,0.284,0.952
12/4/2022,7:21:27,-33.89485,18.95847,247.6,29.82,192.89,2,9,0.136,0.28,0.932
12/4/2022,7:21:29,-33.895,18.95843,247.6,30.5,194.54,2,9,0.078,0.27,0.98
12/4/2022,7:21:31,-33.89514,18.95838,247.7,29.35,196.35,2,9,0.064,0.284,0.998
12/4/2022,7:21:33,-33.89527,18.95833,248.1,29.09,200,2,9,0.068,0.276,0.952
12/4/2022,7:21:35,-33.89541,18.95826,248,30.11,201.68,2,8,0.122,0.284,0.976
12/4/2022,7:21:36,-33.89548,18.95823,248.1,31.93,203.4,2,9,0.052,0.264,0.94
12/4/2022,7:21:37,-33.89556,18.95818,248.8,32.56,206.58,2,9,0.044,0.264,1.012
12/4/2022,7:21:39,-33.8957,18.95808,251.2,32.69,210.19,2,9,0.064,0.28,1.022
12/4/2022,7:21:40,-33.89577,18.95803,252.2,32.69,212.14,2,9,0.14,0.22,0.676
12/4/2022,7:21:42,-33.89591,18.95792,252.4,33.45,213.26,2,9,0.132,0.278,1.05
12/4/2022,7:21:43,-33.89599,18.95786,252.3,34.35,213.02,2,9,0.048,0.216,0.856
12/4/2022,7:21:45,-33.89614,18.95774,252.3,35.54,212.54,2,9,0.056,0.25,1
12/4/2022,7:21:46,-33.89622,18.95768,252.7,35.43,212.83,2,9,0.1,0.256,1.02
12/4/2022,7:21:47,-33.89629,18.95762,253.1,34.93,212.15,2,9,0.072,0.296,1.056
12/4/2022,7:21:48,-33.89636,18.95756,253.6,34.24,211.96,2,9,0.104,0.268,0.948
12/4/2022,7:21:49,-33.89643,18.95751,253.8,33.67,211.28,2,9,0.024,0.208,1.052
12/4/2022,7:21:51,-33.89657,18.95742,254.1,30.43,204.73,2,9,0.018,0.238,0.864
12/4/2022,7:21:52,-33.89664,18.95739,254.2,28.45,202.29,2,9,0.156,0.224,1.016
12/4/2022,7:21:54,-33.89678,18.95733,254.7,28.45,199,2,9,0.09,0.258,0.964
12/4/2022,7:21:55,-33.89685,18.9573,254.9,27.13,196.69,2,9,0.004,0.272,0.964
12/4/2022,7:21:57,-33.89696,18.95727,254.9,21.72,190.96,2,9,0.02,0.284,0.976
12/4/2022,7:21:59,-33.89705,18.95725,255.2,17,187.97,2,9,0.042,0.258,0.976
12/4/2022,7:22:00,-33.89708,18.95725,255.3,14,189.61,2,9,0.132,0.256,0.96
12/4/2022,7:22:01,-33.89711,18.95724,255.5,12.15,190.92,2,9,0.192,0.256,1.02
12/4/2022,7:22:03,-33.89717,18.95722,255.8,14.06,193.37,2,9,0.18,0.252,0.976
12/4/2022,7:22:04,-33.89721,18.95722,256,15,192.69,2,9,0.172,0.236,0.936
12/4/2022,7:22:05,-33.89724,18.95721,256.1,16.11,191.26,2,9,0.148,0.208,0.952
12/4/2022,7:22:07,-33.89733,18.95719,256.1,18.63,191.8,2,9,0.172,0.254,0.962
12/4/2022,7:22:09,-33.89744,18.95716,256.1,22.39,192.49,2,9,0.192,0.248,0.978
12/4/2022,7:22:10,-33.8975,18.95715,256,24.54,192.7,2,9,0.052,0.256,0.928
12/4/2022,7:22:11,-33.89757,18.95714,255.9,25.3,191.49,2,9,0,0.256,0.912
12/4/2022,7:22:13,-33.89768,18.95711,255.7,22.48,189.49,2,9,0.034,0.256,0.98
12/4/2022,7:22:15,-33.89778,18.95709,255.5,19.43,189.74,2,9,0.106,0.256,0.954
12/4/2022,7:22:16,-33.89783,18.95709,255.9,20.3,190.48,2,9,0.108,0.26,0.984
12/4/2022,7:22:17,-33.89789,18.95708,256.3,21.32,189.45,2,9,0.144,0.248,0.964
12/4/2022,7:22:19,-33.898,18.95706,257,22.3,190.7,2,9,0.08,0.266,0.962
12/4/2022,7:22:21,-33.89812,18.95703,258.2,24.67,191.1,2,9,0.096,0.246,0.982
12/4/2022,7:22:23,-33.89824,18.95701,259.7,25.21,190.53,2,9,0.12,0.25,0.986
12/4/2022,7:22:25,-33.89838,18.95698,261.2,27.63,191.39,2,9,0.026,0.296,0.972
12/4/2022,7:22:27,-33.89851,18.95695,261.6,25.56,188.38,2,9,0.066,0.334,0.958
12/4/2022,7:22:28,-33.89858,18.95694,261.9,24.63,184.47,2,9,0.072,0.352,0.92
12/4/2022,7:22:29,-33.89863,18.95694,262,23.41,181.86,2,9,-0.024,0.272,0.98
12/4/2022,7:22:30,-33.89869,18.95694,262,20.71,181.62,2,9,-0.096,0.316,1.008
12/4/2022,7:22:31,-33.89873,18.95693,262,15.54,186.47,2,9,0.036,0.304,0.936
12/4/2022,7:22:33,-33.89878,18.95692,262,6.74,187.37,2,9,-0.042,0.334,0.96
12/4/2022,7:22:34,-33.89879,18.95692,262,0.31,187.37,2,9,0.044,0.32,0.984
12/4/2022,7:22:36,-33.89879,18.95692,262,0.09,187.37,2,9,0.07,0.322,0.972
12/4/2022,7:22:37,-33.89879,18.95692,262,0.06,187.37,2,9,0.068,0.312,0.96
12/4/2022,7:22:38,-33.89879,18.95692,262,0.02,187.37,2,9,0.056,0.316,0.988
12/4/2022,7:22:40,-33.89879,18.95692,262,0.02,187.37,2,9,0.062,0.318,0.972
12/4/2022,7:22:42,-33.8988,18.95692,262,0.04,187.37,2,9,0.064,0.32,0.96
12/4/2022,7:22:43,-33.8988,18.95692,262,0.02,187.37,2,9,0.072,0.316,0.964
12/4/2022,7:22:44,-33.8988,18.95692,262,0.02,187.37,2,9,0.068,0.312,0.976
12/4/2022,7:22:46,-33.8988,18.95692,262,0.02,187.37,2,9,0.068,0.314,0.952
12/4/2022,7:22:48,-33.8988,18.95692,262,0.02,187.37,2,9,0.066,0.312,0.968
12/4/2022,7:22:49,-33.8988,18.95692,262,0,187.37,2,9,0.056,0.308,0.984
12/4/2022,7:22:51,-33.8988,18.95692,262,0.02,187.37,2,9,0.062,0.316,0.968
12/4/2022,7:22:52,-33.8988,18.95692,262,0.02,187.37,2,9,0.06,0.3,0.948
12/4/2022,7:22:53,-33.8988,18.95692,262,0.02,187.37,2,9,0.068,0.316,0.972
12/4/2022,7:22:55,-33.8988,18.95692,262,0.02,187.37,2,9,0.068,0.31,0.962
12/4/2022,7:22:57,-33.8988,18.95692,262,0.02,187.37,2,9,0.066,0.312,0.966
12/4/2022,7:22:58,-33.8988,18.95692,262,0.02,187.37,2,9,0.06,0.308,0.968
12/4/2022,7:22:59,-33.8988,18.95692,262,0.24,187.37,2,9,0.06,0.308,0.964
12/4/2022,7:23:00,-33.8988,18.95692,262,0.13,187.37,2,9,0.064,0.312,0.98
12/4/2022,7:23:01,-33.8988,18.95692,262,0.26,187.37,2,9,0.064,0.32,0.968
12/4/2022,7:23:03,-33.8988,18.95692,262,0.04,187.37,2,9,0.066,0.308,0.964
12/4/2022,7:23:05,-33.89879,18.95692,262,0.19,187.37,2,9,0.07,0.31,0.962
12/4/2022,7:23:07,-33.89879,18.95692,262,0.26,187.37,2,9,0.058,0.314,0.97
12/4/2022,7:23:09,-33.89879,18.95692,262,0.43,187.37,2,9,0.06,0.314,0.972
12/4/2022,7:23:10,-33.89879,18.95692,262,0.41,187.37,2,9,0.06,0.316,0.96
12/4/2022,7:23:11,-33.89879,18.95692,262,0.5,187.37,2,9,0.064,0.32,0.964
12/4/2022,7:23:12,-33.89879,18.95692,262,0.52,187.37,2,9,0.064,0.308,0.952
12/4/2022,7:23:13,-33.89879,18.95692,262,0.63,187.37,2,9,0.064,0.316,0.992
12/4/2022,7:23:15,-33.89879,18.95691,262,0.56,187.37,2,9,0.072,0.316,0.968
12/4/2022,7:23:16,-33.89879,18.95691,262,0.5,187.37,2,9,0.076,0.312,0.956
12/4/2022,7:23:18,-33.89878,18.95691,262,0.57,187.37,2,9,0.064,0.308,0.95
12/4/2022,7:23:20,-33.89878,18.95691,262,0.48,187.37,2,9,0.068,0.308,0.962
12/4/2022,7:23:21,-33.89878,18.95691,262,0.48,187.37,2,9,0.052,0.296,0.928
12/4/2022,7:23:22,-33.89878,18.95691,262,0.41,187.37,2,9,0.064,0.316,0.988
12/4/2022,7:23:24,-33.89878,18.95691,262,0.37,187.37,2,9,0.066,0.318,0.97
12/4/2022,7:23:25,-33.89878,18.95691,262,0.33,187.37,2,9,0.068,0.308,0.952
12/4/2022,7:23:26,-33.89878,18.95691,262,0.46,187.37,2,9,0.064,0.32,0.984
12/4/2022,7:23:28,-33.89878,18.95691,262,0.28,187.37,2,9,0.076,0.312,0.96
12/4/2022,7:23:30,-33.89877,18.95691,261.9,0.24,187.37,2,9,0.056,0.314,0.97
12/4/2022,7:23:31,-33.89877,18.95691,261.9,0.2,187.37,2,9,0.06,0.312,0.972
12/4/2022,7:23:33,-33.89877,18.95691,261.9,0.15,187.37,2,9,0.06,0.314,0.972
12/4/2022,7:23:34,-33.89877,18.95691,261.9,0.17,187.37,2,9,0.052,0.304,0.964
12/4/2022,7:23:36,-33.89877,18.95691,261.9,0.31,187.37,2,9,0.064,0.316,0.97
12/4/2022,7:23:37,-33.89877,18.95691,261.9,0.35,187.37,2,9,0.056,0.316,0.984
